Rank,Zip Code,Population
1,11368,"112,088"
2,11385,"107,796"
3,11211,"103,123"
4,11208,"101,313"
5,10467,"101,255"
6,11236,"100,844"
7,11226,"99,558"
8,11373,"94,437"
9,11234,"93,534"
10,11220,"93,170"
11,10456,"92,717"
12,11214,"92,644"
13,10025,"92,251"
14,11207,"91,083"
15,10314,"89,792"
16,11219,"89,371"
17,11206,"88,422"
18,11230,"86,139"
19,10458,"85,620"
20,11377,"83,825"
21,11221,"83,322"
22,11229,"83,119"
23,10453,"81,716"
24,11223,"81,388"
25,11355,"80,987"
26,11233,"79,439"
27,10468,"78,881"
28,11235,"78,775"
29,10029,"76,713"
30,11204,"76,395"
31,11203,"76,085"
32,10462,"75,714"
33,11212,"75,605"
34,10452,"75,452"
35,10466,"75,039"
36,10457,"74,822"
37,10002,"74,479"
38,11375,"73,034"
39,11218,"72,413"
40,10469,"72,384"
41,10463,"71,132"
42,11215,"69,873"
43,11691,"68,543"
44,11706,"68,401"
45,10472,"67,948"
46,11746,"67,863"
47,11209,"67,782"
48,11213,"67,056"
49,10977,"66,138"
50,10027,"64,988"
51,11210,"64,665"
52,11434,"64,304"
53,11432,"64,299"
54,14850,"64,221"
55,11717,"63,492"
56,11201,"63,378"
57,10032,"63,214"
58,11372,"62,854"
59,10023,"62,541"
60,10701,"61,604"
61,10312,"61,392"
62,11435,"59,605"
63,10031,"59,586"
64,10473,"59,579"
65,10460,"59,432"
66,10128,"58,636"
67,10033,"58,349"
68,10009,"58,293"
69,10024,"58,102"
70,11216,"57,786"
71,11550,"57,639"
72,11225,"56,859"
73,11238,"55,210"
74,12550,"55,149"
75,10003,"53,977"
76,14221,"53,948"
77,10306,"53,877"
78,11354,"53,684"
79,12180,"53,464"
80,10016,"52,886"
81,11758,"52,783"
82,14580,"52,585"
83,10950,"50,979"
84,10011,"49,949"
85,10461,"49,690"
86,14094,"49,257"
87,11237,"48,876"
88,10459,"48,780"
89,11419,"48,369"
90,10451,"48,136"
91,10940,"48,021"
92,11420,"47,470"
93,11590,"47,245"
94,11205,"46,843"
95,10028,"46,768"
96,11772,"45,991"
97,11224,"45,795"
98,10019,"45,498"
99,10040,"44,800"
100,11365,"44,738"
101,11003,"44,572"
102,11757,"44,368"
103,11228,"44,348"
104,10021,"44,280"
105,14120,"44,119"
106,10465,"43,671"
107,11374,"43,507"
108,11756,"43,446"
109,11520,"43,438"
110,11580,"42,990"
111,10475,"42,818"
112,14075,"42,780"
113,10305,"42,726"
114,12065,"42,701"
115,12603,"42,540"
116,10034,"42,399"
117,13760,"42,372"
118,10952,"42,063"
119,10455,"41,951"
120,11743,"41,878"
121,11217,"41,813"
122,11413,"41,650"
123,11040,"41,592"
124,14450,"41,546"
125,14215,"41,435"
126,12601,"41,392"
127,10801,"41,370"
128,11421,"41,251"
129,11367,"41,207"
130,14609,"41,168"
131,10304,"41,112"
132,13440,"41,014"
133,10583,"40,851"
134,14150,"40,850"
135,14224,"40,815"
136,11801,"40,288"
137,11704,"39,981"
138,10705,"39,944"
139,12866,"39,689"
140,11357,"39,407"
141,14701,"39,214"
142,10573,"38,816"
143,10026,"38,585"
144,11378,"38,524"
145,11418,"38,405"
146,10301,"38,280"
147,11554,"38,029"
148,11379,"37,991"
149,11231,"37,874"
150,11412,"37,857"
151,13021,"37,841"
152,11779,"37,837"
153,11561,"37,726"
154,11106,"37,690"
155,13601,"37,548"
156,10550,"37,429"
157,10454,"37,212"
158,11433,"37,021"
159,11105,"36,983"
160,13501,"36,920"
161,11222,"36,872"
162,14624,"36,570"
163,11358,"36,515"
164,11364,"36,215"
165,10035,"36,048"
166,11103,"35,995"
167,10010,"35,906"
168,13126,"35,833"
169,12401,"35,192"
170,12590,"34,910"
171,11710,"34,634"
172,11787,"34,376"
173,14612,"34,116"
174,10309,"34,058"
175,11735,"33,893"
176,12020,"33,563"
177,11566,"33,331"
178,13502,"33,314"
179,12901,"33,312"
180,11510,"33,299"
181,14225,"33,091"
182,14621,"33,066"
183,13027,"33,049"
184,11422,"32,761"
185,14086,"32,585"
186,10956,"32,289"
187,11722,"31,878"
188,10704,"31,683"
189,10562,"31,636"
190,14534,"31,615"
191,11370,"31,580"
192,11369,"31,481"
193,11101,"31,366"
194,11417,"31,321"
195,10022,"31,130"
196,10030,"31,060"
197,14226,"30,644"
198,11793,"30,643"
199,11731,"30,436"
200,11050,"30,357"
201,10014,"30,344"
202,14626,"30,292"
203,14127,"30,191"
204,11423,"30,104"
205,12203,"30,010"
206,12309,"30,007"
207,13090,"29,869"
208,11102,"29,747"
209,11727,"29,736"
210,10065,"29,530"
211,10308,"29,512"
212,11725,"29,396"
213,10598,"29,320"
214,14304,"29,262"
215,11572,"29,243"
216,13045,"28,916"
217,10013,"28,799"
218,11763,"28,579"
219,11803,"28,520"
220,12303,"28,488"
221,10036,"28,487"
222,11530,"28,460"
223,11720,"28,454"
224,11901,"28,387"
225,11701,"28,363"
226,11414,"28,313"
227,14606,"28,296"
228,12010,"28,152"
229,11001,"28,021"
230,13210,"27,916"
231,11542,"27,893"
232,14424,"27,880"
233 TIE,11967 and 10039,"27,854"
234,11429,"27,454"
235,10303,"27,401"
236,12302,"27,377"
237,11729,"27,252"
238,11570,"27,234"
239,11361,"27,201"
240,14616,"26,948"
241,12205,"26,941"
242,12306,"26,799"
243,11416,"26,744"
244,12553,"26,674"
245,11741,"26,651"
246,11232,"26,430"
247,10541,"26,321"
248,12804,"26,187"
249,11791,"26,135"
250,11553,"26,054"
251,14623,"25,893"
252,13905,"25,890"
253,12533,"25,426"
254,11784,"25,337"
255,10710,"25,262"
256,11104,"25,114"
257,11776,"24,950"
258,11552,"24,908"
259,11795,"24,775"
260,11010,"24,752"
261,10512,"24,672"
262,11427,"24,560"
263,14043,"24,538"
264,13069,"24,166"
265,10001,"24,117"
266,10566,"24,010"
267,14620,"23,835"
268,10310,"23,800"
269,11356,"23,494"
270,12078,"23,419"
271,10012,"23,318"
272,10038,"23,311"
273,14207,"23,275"
274,14213,"23,113"
275,10591,"23,044"
276,10901,"23,039"
277,14217,"22,975"
278,10954,"22,931"
279,13208,"22,833"
280,14617,"22,774"
281,11714,"22,741"
282,14020,"22,707"
283,14220,"22,623"
284,14618,"22,597"
285,14211,"22,495"
286,10471,"22,422"
287,11762,"22,358"
288,13850,"22,351"
289,14216,"22,289"
290,10075,"22,252"
291,12304,"22,230"
292,14223,"22,225"
293,10703,"22,148"
294,11692,"22,074"
295,13820,"22,070"
296,11563,"21,919"
297,13088,"21,917"
298,14228,"21,839"
299,11581,"21,794"
300,10708,"21,769"
301,12208,"21,666"
302,12110,"21,665"
303,14227,"21,497"
304,12047,"21,355"
305,11783,"21,280"
306,13212,"21,269"
307,11694,"21,202"
308,11768,"21,113"
309,14072,"21,047"
310,14420,"21,006"
311,10543,"20,951"
312,11411,"20,719"
313,11426,"20,524"
314,10567,"20,518"
315,10037,"20,462"
316,14206,"20,310"
317,14051,"20,219"
318,12144,"20,205"
319,10552,"20,202"
320,14845,"20,011"
321,14526,"19,973"
322,12508,"19,825"
323,11501,"19,621"
324,10509,"19,582"
325,14830,"19,521"
326,14214,"19,492"
327,11726,"19,481"
328,14456,"19,473"
329,13901,"19,230"
330,10605,"19,195"
331,11436,"19,167"
332,10805,"19,096"
333,11360,"18,954"
334,14218,"18,952"
335,14559,"18,930"
336,11415,"18,891"
337,11428,"18,836"
338,13204,"18,741"
339,12561,"18,713"
340,11030,"18,578"
341,11362,"18,343"
342,11747,"18,288"
343,13903,"18,258"
344,11021,"18,245"
345,12477,"18,060"
346,10302,"18,037"
347,12534,"18,007"
348,11738,"17,972"
349,13790,"17,964"
350,11754,"17,946"
351,14468,"17,913"
352,10603,"17,866"
353,14760,"17,640"
354,10580,"17,334"
355,11790,"17,304"
356,12189,"17,290"
357,13205,"17,212"
358,11575,"17,180"
359,13039,"17,028"
360,14615,"16,963"
361,14611,"16,962"
362,12054,"16,940"
363,12589,"16,882"
364,10606,"16,841"
365,14305,"16,767"
366,13206,"16,723"
367,14052,"16,672"
368,13676,"16,637"
369,11788,"16,583"
370,14607,"16,521"
371,12831,"16,517"
372,13203,"16,513"
373,10549,"16,498"
374,12206,"16,480"
375,11950,"16,444"
376,11733,"16,363"
377,10538,"16,302"
378,13662,"16,267"
379,11937,"16,137"
380,11703,"16,119"
381,11780,"16,099"
382,13104,"16,052"
383,12524,"15,934"
384,13669,"15,908"
385,10960,"15,857"
386,14901,"15,855"
387,10017,"15,846"
388,13413,"15,777"
389,10470,"15,716"
390,10965,"15,534"
391,12118,"15,508"
392,11946,"15,453"
393,14613,"15,381"
394,12953,"15,374"
395,10804,"15,229"
396,14904,"15,176"
397,13219,"15,107"
398,11004,"15,098"
399,14564,"15,082"
400,13031,"15,080"
401,11782,"14,965"
402 TIE,11767 and 13215,"14,952"
403,10307,"14,906"
404,11798,"14,864"
405,12771,"14,788"
406,12308,"14,699"
407,12019,"14,456"
408,12182,"14,432"
409,11366,"14,360"
410,12801,"14,358"
411,11751,"14,314"
412,14063,"14,302"
413,14048,"14,283"
414,14210,"14,249"
415,11702,"14,127"
416,14222,"14,114"
417,12538,"14,081"
418,11598,"14,066"
419,10980,"13,942"
420,14513,"13,938"
421,10941,"13,786"
422,14411,"13,776"
423 TIE,11949 and 14610,"13,760"
424,11730,"13,663"
425,11953,"13,645"
426,13057,"13,643"
427,14619,"13,642"
428,10924,"13,508"
429,10528,"13,182"
430,13421,"13,149"
431,10520,"13,117"
432,11951,"13,015"
433,11764,"12,981"
434,11693,"12,944"
435,13815,"12,930"
436,11961,"12,902"
437,10570,"12,900"
438,11753,"12,857"
439,12839,"12,838"
440,14843,"12,814"
441,12528,"12,797"
442,11239,"12,772"
443,14527,"12,745"
444,13209,"12,713"
445,14301,"12,704"
